test,channel,sample_rate_hz,n_samples,n_segments,frequency_hz,half_power_bandwidth_hz,zeta_half_power,zeta_bootstrap_mean,zeta_bootstrap_sd,zeta_bootstrap_q025,zeta_bootstrap_q975,bootstrap_valid_reps
test1,1,200.00000000000426,11136,9,2.734375000000058,0.192621454295546,0.03522220878547052,0.03446269261988129,0.0017789012009141166,0.030863491096058227,0.03668871361095889,200
test1,1,200.00000000000426,11136,9,4.492187500000096,0.20033659127314962,0.022298333637358787,0.022564203730391304,0.0010548727958464897,0.021342894732811004,0.025846186800047702,200
test1,1,200.00000000000426,11136,9,4.980468750000107,0.24304877633462407,0.024400190879083305,0.08344099809337574,0.05937262978930596,0.022320029073799177,0.1649639272555195,200
test1,1,200.00000000000426,11136,9,6.835937500000146,0.1575190076521258,0.011521390273983812,0.011910470641111608,0.0020772461436782334,0.009834283041185473,0.016382066636151067,200
test1,1,200.00000000000426,11136,9,8.789062500000187,0.33126458511961054,0.018845274175693,0.017741216433760115,0.0019417620135665315,0.012416034801939707,0.01971418433266475,200
test1,1,200.00000000000426,11136,9,10.644531250000227,0.2393174639148281,0.011241334084806365,0.010749937614922942,0.0007902104965830577,0.009749948776967762,0.01164896708799231,200
test1,1,200.00000000000426,11136,9,17.578125000000373,0.5451254558949756,0.015505790745456756,0.015160419392471014,0.0036368396274677707,0.008319473411824468,0.021789030166818667,200
test1,1,200.00000000000426,11136,9,17.87109375000038,0.5168593281499092,0.0144607637165436,0.011731245932863786,0.005540166706223518,0.005525011678087124,0.025008244958993425,200
test1,2,200.00000000000426,11136,9,2.3437500000000497,0.2854357119941371,0.060892951892081285,0.10153447484790337,0.05698929347909574,0.056232420411161915,0.24047662187559682,200
test1,2,200.00000000000426,11136,9,2.734375000000058,0.19275159567558298,0.03524600606639157,0.03439877365564656,0.001976329680940664,0.02942909732151699,0.036759177687004235,200
test1,2,200.00000000000426,11136,9,4.492187500000096,0.20065030965078456,0.0223332518567825,0.0227288835664151,0.0012326939449895922,0.021366135022883682,0.026369288649249423,200
test1,2,200.00000000000426,11136,9,4.980468750000107,0.2260033993622912,0.022688968720292278,0.06958237262345347,0.05597783550443141,0.01858020404433794,0.16182516524285634,200
test1,2,200.00000000000426,11136,9,8.691406250000185,0.3182274451441902,0.018307017068968756,0.01741356607344665,0.00462727390991635,0.011806841683139923,0.0252185938574236,200
test1,2,200.00000000000426,11136,9,10.644531250000227,0.2280395695031494,0.010711583448221101,0.010612378811838751,0.0010473853141800377,0.009110395653023035,0.011996499819345278,200
test1,2,200.00000000000426,11136,9,15.429687500000329,0.38133096941674793,0.012357054198820936,0.011689064210571276,0.0037698047025308866,0.0074060346059987075,0.021914559613254506,200
test1,2,200.00000000000426,11136,9,17.87109375000038,0.19751884374678497,0.005526210273133976,0.00782390673854144,0.005863125583142674,0.004601393935388632,0.02370337233897698,200
test1,3,200.00000000000426,11136,9,2.3437500000000497,0.2866610954256408,0.0611543670241354,0.10054429915038039,0.05952070105751779,0.05709688516560341,0.23205350191126747,200
test1,3,200.00000000000426,11136,9,2.734375000000058,0.19141532699787644,0.03500165979389666,0.03430007554376915,0.001652000098365659,0.0308475514871923,0.036556012883160606,200
test1,3,200.00000000000426,11136,9,4.492187500000096,0.20288856050407933,0.022582378908279653,0.02262159795654151,0.0014636185420420869,0.021366741604301232,0.02471816889063612,200
test1,3,200.00000000000426,11136,9,6.835937500000146,0.15711983666628182,0.011492193767590654,0.011885673589249515,0.001951399772481685,0.009841279604450831,0.01614461459845479,200
test1,3,200.00000000000426,11136,9,8.789062500000187,0.33647251763163055,0.019141547669710133,0.01876686206514841,0.0024186936806140694,0.011961043837488578,0.021715915286215994,200
test1,3,200.00000000000426,11136,9,10.644531250000227,0.21471928336801405,0.010085896613249618,0.010146755125805356,0.0012450882329039796,0.008447314555462306,0.012083915313523427,200
test1,3,200.00000000000426,11136,9,17.578125000000373,0.6266308515062669,0.017824166442844545,0.012645694255545594,0.005180511682733403,0.005887979109312542,0.01952256455209176,200
test1,3,200.00000000000426,11136,9,17.87109375000038,0.21986005764993877,0.006151275929877937,0.006720246385287213,0.0013908044073969584,0.005362605781046598,0.008810607516205311,200
test1,4,200.00000000000426,11136,9,2.3437500000000497,0.28156614251544987,0.06006744373662803,0.10775861958225771,0.11662593345651526,0.05681512960449202,0.30371894261858307,200
test1,4,200.00000000000426,11136,9,2.734375000000058,0.1910961380818672,0.03494329382068354,0.03465827766598969,0.0011659740914294542,0.03263568616729246,0.036299761944239464,200
test1,4,200.00000000000426,11136,9,4.492187500000096,0.19939908134348894,0.022193984706057424,0.022276472378005483,0.0006168156698073995,0.02128299949192832,0.023531834667641496,200
test1,4,200.00000000000426,11136,9,4.980468750000107,0.23791873557283783,0.023885175022213795,0.06850637924110581,0.05844018159975516,0.019456514576685596,0.1511953619147774,200
test1,4,200.00000000000426,11136,9,6.835937500000146,0.16082723547769717,0.0117633635092256,0.012031299335241592,0.002301332353333661,0.00983551519815766,0.016879235607907942,200
test1,4,200.00000000000426,11136,9,10.644531250000227,0.21640857400000968,0.010165246778715834,0.010233530802273873,0.0013799272404467328,0.008424795172542923,0.01239903474562591,200
test1,4,200.00000000000426,11136,9,12.597656250000268,0.30916410574459974,0.012270699390793154,0.019317776665648198,0.010652140882566634,0.011059979441398455,0.0374608099344965,200
test1,4,200.00000000000426,11136,9,17.87109375000038,0.2450992302130537,0.0068574210857421216,0.00892770937281269,0.004622815942184838,0.004891308762829416,0.018247628166835266,200
test1,5,200.00000000000426,11136,9,2.734375000000058,0.19221866978212887,0.03514855676015996,0.03481760617548936,0.0011021659865352938,0.03247454128725329,0.03636197429774224,200
test1,5,200.00000000000426,11136,9,4.492187500000096,0.19915194284777105,0.022166477116968827,0.022290675719441207,0.0007245806536795594,0.021504445923916506,0.02412740024910884,200
test1,5,200.00000000000426,11136,9,6.835937500000146,0.15885167194936045,0.011618865148295831,0.012284765233544609,0.0022162923272482362,0.009857243425484632,0.0166345302869737,200
test1,5,200.00000000000426,11136,9,8.691406250000185,0.242414819858773,0.013945661546931365,0.014507702172487034,0.0029934023048356624,0.01117056925280223,0.02381150744607254,200
test1,5,200.00000000000426,11136,9,10.644531250000227,0.21862363384593841,0.010269293626524595,0.010313992519206321,0.0007595561290841427,0.009384611842354543,0.011355509844694824,200
test1,5,200.00000000000426,11136,9,15.332031250000327,0.3441468611871681,0.01122313330750486,0.012240330313554603,0.006509800461828638,0.006501185454950012,0.024986611739575844,200
test1,5,200.00000000000426,11136,9,17.578125000000373,0.23030973916436537,0.0065510325806751426,0.008357453081972943,0.0049671906934167665,0.006200782985113568,0.023283292827038643,200
test1,5,200.00000000000426,11136,9,17.968750000000384,0.2505896645236234,0.006972929795439807,0.007560975430412385,0.002907908565729777,0.005114677763941491,0.011831287864209965,200
test2,1,200.00000000000426,7104,5,2.734375000000058,0.2176122318714544,0.03979195097077939,0.03920934393191478,0.0012611533834039955,0.03631144492916037,0.04031487696822121,200
