frequency_cluster_hz,estimates,tests,channels,frequency_median_hz,zeta_median,zeta_q025_median,zeta_q975_median
2.75,35,8,5,2.734375000000058,0.03447470643603538,0.030948663440019807,0.039546920209550425
4.5,34,8,5,4.492187500000096,0.02195730280333914,0.01971977303746894,0.024827405893407012
6.75,26,7,4,6.835937500000146,0.013026267936308022,0.010969795521048445,0.01626334061730293
8.75,28,8,5,8.789062500000187,0.012254556368235862,0.010845192518201143,0.014518094872132736
10.75,33,7,5,10.74218750000023,0.011135255818133958,0.009404672515408679,0.013615883582442602
15.25,12,6,5,15.332031250000327,0.009777426407089666,0.0060240541452451475,0.01791561578526312
17.75,15,6,5,17.87109375000038,0.007406273083555943,0.005494402136888105,0.014899136729813443
18.0,27,8,5,17.968750000000384,0.0065385243200745125,0.005004162526547998,0.010051582976556745
